2022-03-02 20:03:59,203 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "000119FE21000100FFFF"}
2022-03-02 20:03:59,763 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:04:00,576 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:04:01,709 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:04:03,174 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:04:03,299 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "0001DB08220005010000"}
2022-03-02 20:04:03,893 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "0001180A220001010000"}
2022-03-02 20:04:04,235 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "00017D0A22000100FFFF"}
2022-03-02 20:04:05,732 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": -1, "data": "00040100000002D301000300C6BF5B0A220000000000744E575F506C6179657244617461004119700F44BF23764345A44843000000000000000000000000D8EA14404A0A2200000000000000000000000000000000000000000050C3000001000010000000000000000000000000D8EA14404A0A220050C3000001000010000000000000000000007041000000000000000000000000000000000000010000000100000000000000010000000100000000000000000000003200000064000000320000000100000F010000000000000003000300030000000000704100004343434343434343434343000000"}
2022-03-02 20:04:05,922 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "00040000000002D300000100C6BFE10A220000000000744E575F506C61796572446174610041029A0F44D0C176435C924843000000000000000000000000D8EA1440D00A220000000000000000000000000000000000000000000100000001000000000000000000000000000000D8EA1440D00A2200010000000100000000000000000000000000704100000000000000000000000000000000000000000000010000000000000001000000010000000000000000000000320000005F000000320000000100000F000000000000000001000000030000000000704100004141414141414141414141000000"}
2022-03-02 20:04:05,922 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "0004000000000200000001001D00E10A220000000000744E575F506C61796572446174610000029A0F44D0C176435C924843000000000000000000000000D8EA1440D00A220000000000000000000000000000000000000000000100000001000000000000000000000000000000D8EA1440D00A2200010000000100000000000000000000000000704100000000000000000000000000000000000000000000010000000000000001000000010000000000000000000000320000005F000000320000000100"}
2022-03-02 20:04:05,972 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "000401000000026E0100030000005B0A220000000000744E575F506C6179657244617461000019700F44BF23764345A44843000000000000000000000000D8EA14404A0A2200000000000000000000000000000000000000000050C3000001000010000000000000000000000000D8EA14404A0A220050C3000001000010000000000000000000007041000000000000000000000000000000000000010000000100000000000000010000000100000000000000000000003200000064000000320000000100"}
2022-03-02 20:04:06,055 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:04:07,786 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:04:08,099 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "0001D115220001010000"}
2022-03-02 20:04:08,416 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "0001141622000100FFFF"}
